Followers,Following,Following/Followers,Posts,Posts/Followers,Bio,Profile Picture,External Link,Mutual Friends,Threads,Labels
2,2757,1378.5,0,0,N,N,N,0,N,Bot
2,505,252.5,0,0,N,Yes,N,0,N,Scam
6786,1782,0.262599469,1589,6051.040404,yes,N,Yes,10,N,Real
21,1281,61,0,0,N,Yes,N,0,N,Bot
585,1682,2.875213675,2663,926.1920333,yes,N,N,12,Yes,Real
0,753,#DIV/0!,0,#DIV/0!,Yes,Yes,N,0,N,Scam
6,440,73.33333333,1,0.013636364,N,Yes,N,0,N,Scam
4,754,188.5,3,0.015915119,N,Yes,N,0,N,Scam
21,4459,212.3333333,0,0,N,N,N,0,N,Bot
1,677,677,3,0.004431315,N,Yes,N,0,N,Scam
35,6275,179.2857143,1,0.005577689,N,N,N,0,N,Bot
4,610,152.5,1,0.006557377,N,N,N,0,N,Scam
6,212,35.33333333,2,0.056603774,Yes,Yes,N,0,N,Scam
29733,519,0.017455353,734,42050.13873,Yes,Yes,Yes,3,N,Spam
13250,164,0.012377358,2321,187519.8171,Yes,Yes,Yes,8,N,Real
3029,1563,0.516011885,2377,4606.483045,N,N,N,4,Yes,Real
10807,1471,0.136115481,1076,7905.052345,yes,N,N,2,Yes,Real
24,878,36.58333333,1,0.027334852,N,N,N,0,N,Bot
45,4132,91.82222222,2,0.02178122,N,Yes,N,0,N,Bot
2257,827,0.366415596,857,2338.874244,Yes,N,Yes,4,Yes,Real
2,6069,3034.5,1,0.000329544,N,N,N,0,N,Bot
113377,471,0.004154282,650,156465.0743,Yes,Yes,Yes,1,N,Spam
6,501,83.5,1,0.011976048,Yes,N,N,0,N,Scam
1118,1666,1.490161002,359,240.9135654,N,Yes,Yes,5,N,Real
8,2473,309.125,1,0.003234937,N,Yes,N,0,N,Bot
0,602,#DIV/0!,4,#DIV/0!,Yes,Yes,N,0,N,Scam
13636,1317,0.096582576,1820,18843.97874,yes,Yes,N,11,N,Real
4,218,54.5,4,0.073394495,N,Yes,N,0,N,Scam
155691,668,0.00429055,176,41020.38323,Yes,N,N,6,Yes,Spam
0,106,#DIV/0!,1,#DIV/0!,Yes,Yes,N,0,N,Scam
68897,509,0.00738784,565,76477.02358,Yes,N,N,3,N,Spam
30,4786,159.5333333,0,0,N,N,N,0,N,Bot
144481,1008,0.006976696,554,79407.21627,Yes,Yes,Yes,9,Yes,Spam
40,1107,27.675,1,0.036133695,N,Yes,N,0,N,Bot
3,478,159.3333333,4,0.025104603,N,N,N,0,N,Scam
2,493,246.5,1,0.004056795,N,N,N,0,N,Scam
7,67,9.571428571,3,0.313432836,N,N,N,0,N,Scam
5,523,104.6,1,0.009560229,Yes,N,N,0,N,Scam
44,3563,80.97727273,0,0,N,Yes,N,0,N,Bot
20440,1892,0.092563601,450,4861.522199,N,Yes,N,14,N,Real
20226,1044,0.051616731,1180,22860.8046,yes,Yes,N,8,Yes,Real
17662,204,0.011550221,341,29523.2451,Yes,N,Yes,5,N,Spam
38,6606,173.8421053,0,0,N,Yes,N,0,N,Bot
45,3486,77.46666667,2,0.025817556,N,N,N,0,N,Bot
0,575,#DIV/0!,4,#DIV/0!,Yes,N,N,0,N,Scam
0,397,#DIV/0!,4,#DIV/0!,N,N,N,0,N,Scam
19080,340,0.017819706,288,16161.88235,yes,N,N,8,N,Real
18,5108,283.7777778,0,0,N,Yes,N,0,N,Bot
6,20,3.333333333,4,1.2,N,Yes,N,0,N,Scam
14241,1157,0.081244295,1003,12345.48228,Yes,N,N,1,Yes,Real
2,310,155,2,0.012903226,N,Yes,N,0,N,Scam
20479,899,0.043898628,1025,23349.24917,N,Yes,Yes,2,N,Real
3,101,33.66666667,2,0.059405941,Yes,Yes,N,0,N,Scam
34,3057,89.91176471,2,0.02224403,N,N,N,0,N,Bot
14,5048,360.5714286,0,0,N,Yes,N,0,N,Bot
7,420,60,2,0.033333333,N,Yes,N,0,N,Scam
23120,570,0.024653979,235,9531.929825,Yes,Yes,Yes,7,Yes,Spam
19566,1166,0.059593172,1864,31278.75129,N,N,Yes,15,Yes,Real
80308,417,0.005192509,636,122484.1439,Yes,N,Yes,2,Yes,Spam
24,314,13.08333333,1,0.076433121,N,N,N,0,N,Bot
3,155,51.66666667,3,0.058064516,Yes,N,N,0,N,Scam
121446,163,0.00134216,298,222030.1104,Yes,Yes,N,1,N,Spam
9961,1622,0.162835057,2498,15340.67694,Yes,N,N,6,N,Real
2,4310,2155,0,0,N,N,N,0,N,Bot
3710,1261,0.339892183,854,2512.561459,Yes,N,Yes,13,N,Real
7,422,60.28571429,2,0.033175355,Yes,N,N,0,N,Scam
12780,5,0.000391236,2489,6361884,yes,N,Yes,1,Yes,Real
44897,747,0.016638083,160,9616.492637,N,Yes,N,2,N,Spam
44,5667,128.7954545,0,0,N,N,N,0,N,Bot
8,2428,303.5,2,0.006589786,N,N,N,0,N,Bot
9832,1608,0.1635476,1567,9581.308458,Yes,Yes,N,1,Yes,Real
29,5022,173.1724138,1,0.005774592,N,Yes,N,0,N,Bot
3,138,46,4,0.086956522,N,N,N,0,N,Scam
100647,921,0.009150794,527,57590.62866,N,Yes,Yes,3,N,Spam
11,3600,327.2727273,0,0,N,Yes,N,0,N,Bot
1,4179,4179,0,0,N,Yes,N,0,N,Bot
0,431,#DIV/0!,0,#DIV/0!,N,N,N,0,N,Scam
46,776,16.86956522,1,0.059278351,N,N,N,0,N,Bot
7,674,96.28571429,1,0.010385757,Yes,Yes,N,0,N,Scam
20018,527,0.026326306,91,3456.618596,N,N,Yes,8,N,Spam
2867,494,0.172305546,606,3517.008097,Yes,N,Yes,2,N,Real
3,11,3.666666667,1,0.272727273,N,Yes,N,0,N,Scam
95722,834,0.008712731,495,56813.41727,Yes,N,Yes,8,Yes,Spam
6,1010,168.3333333,0,0,N,Yes,N,0,N,Bot
130989,510,0.003893457,347,89123.88824,N,Yes,N,8,N,Spam
4601,620,0.134753314,196,1454.509677,N,N,Yes,5,N,Spam
21822,1247,0.057144166,1232,21559.50601,N,Yes,N,4,N,Real
22,4142,188.2727273,1,0.005311444,N,Yes,N,0,N,Bot
12827,45,0.003508225,2156,614555.8222,N,N,Yes,14,N,Real
6,636,106,3,0.028301887,Yes,N,N,0,N,Scam
152927,514,0.003361081,261,77653.59339,N,N,Yes,5,N,Spam
42385,876,0.020667689,499,24143.96689,N,N,N,8,Yes,Spam
6,246,41,3,0.073170732,Yes,Yes,N,0,N,Scam
158919,747,0.004700508,689,146579.9076,N,Yes,Yes,7,Yes,Spam
